1,1,2,3,5,5,5,18,7,21,2,1,45,4,6,6,2,19,11,1,75,1,105,1,8,6,1,338,1,1,3,1,3,2,11,1,3,8,19,2,1,309,2,2,5,432,1,14,1,5,5,2,672,5,2,2,1,1,21,1,2,4,2,121,1,48,1,1,7,1,1,568,1,1,13,1,142,1,1,514,1,3,248,1,1,7,1,1,988,1,1,2,1,18,1,28,1,1,1078,1,1,1,86,1,1,1,3,1,202,1,1,24,1,1,944,1,1,4,22,1,3,4,1,10,1,7,1087,1,64,2,1,12,1,1,348,1,1,134,1,1,11,1,1,745,1,1,1,917,1,2,1,23,4,1,2,1,1,308,3,1,17,1,2,1,100,1,1,714,1,4,1,655,1,64,1,1,3,1,165,1,75,1,14,1,4,3,2,4,12,1,975,3,4,39,1,309,4,5,325,2,6,3,7,3,33,18,2,2,4,57,5,1,1,1,165,1,1,256,1,4,2,1,1,562,1,1,129,1,1,115,1,2,1,14,1,5,1,1,51,1,56,1,7,4,11,2,5,2,2,1
2,1,1,2,4,4,4,17,6,16,4,1,44,3,5,5,1,18,9,1,73,1,1,103,7,2,3,2,335,311,1,1,2,1,3,7,2,7,3,15,1,308,1,1,4,429,2,11,1,4,4,1,670,1,4,1,1,1,12,7,1,3,1,113,6,1,46,1,1,5,1,565,1,1,10,1,140,1,1,511,1,2,1,246,1,1,4,1,44,942,1,1,1,15,1,1,26,1,1,1075,1,1,3,81,40,1,1,1,199,1,1,1,21,1,1,941,6,1,2,21,2,3,7,2,1,5,1086,2,61,1,7,4,1,342,4,1,1,131,1,1,8,1,742,1,1,1,53,862,1,1,5,17,2,1,1,1,307,1,1,12,3,1,1,98,1,1,712,1,1,2,653,1,60,1,2,1,1,164,1,73,1,1,11,1,3,2,1,3,11,974,2,2,1,38,308,2,1,4,324,1,5,2,6,2,32,17,1,1,3,56,4,1,1,163,1,1,252,1,2,3,1,1,46,3,1,1,127,1,1,114,1,1,6,7,1,2,1,48,2,1,54,1,5,3,10,1,4,1,1,1
6,5,2,1,3,3,3,16,5,15,1,2,43,2,4,4,13,4,7,1,1,71,11,91,6,1,2,1,22,1,310,2,1,1,2,6,1,6,2,12,2,77,230,1,2,3,425,1,10,3,1,2,6,663,1,2,1,1,10,3,3,2,1,111,4,1,42,2,1,3,1,4,559,1,8,1,1,138,1,2,508,1,1,243,1,1,2,1,42,1,939,1,2,11,1,1,23,1,1,1071,1,2,1,38,1,39,1,3,1,194,1,3,8,9,1,932,1,5,1,20,1,2,6,1,4,1080,5,1,60,6,2,1,333,7,3,1,89,40,1,1,6,1,739,1,1,48,3,860,1,4,1,14,1,1,5,222,82,1,2,9,1,1,93,3,1,1,708,1,1,1,651,1,57,1,1,2,162,1,1,69,1,1,6,3,2,1,2,10,967,6,1,1,36,1,307,1,2,1,323,3,1,1,5,1,31,15,1,2,54,1,3,1,160,1,2,245,4,1,1,2,1,43,1,1,1,119,3,3,1,91,19,1,4,4,2,1,45,2,1,36,10,7,4,2,9,2,1,1,2,3
2,1,2,1,2,2,2,15,4,1,13,1,42,1,3,3,12,3,3,3,1,69,10,1,89,5,1,1,19,1,4,303,2,1,1,4,1,5,1,11,1,75,1,229,1,2,5,419,8,1,2,1,3,2,662,4,1,8,1,2,2,1,9,100,1,3,6,35,1,2,2,1,556,1,2,5,1,134,1,1,3,504,1,6,235,1,1,1,39,1,935,2,1,9,1,1,20,1,1,1068,1,1,1,35,1,36,1,2,1,190,1,2,7,8,837,10,84,1,3,2,17,1,5,3,2,1077,4,59,2,3,1,24,308,6,2,1,86,1,38,2,3,1,736,1,1,45,2,858,1,3,2,10,1,4,215,1,81,1,2,4,2,78,14,2,1,705,1,1,1,649,1,53,1,2,1,141,18,1,57,10,1,2,3,2,1,1,9,964,2,3,2,32,3,2,299,5,1,1,320,1,2,1,3,29,1,13,1,1,53,1,1,1,156,1,2,240,1,2,1,1,39,1,1,2,117,1,2,2,1,89,17,1,3,3,1,41,3,1,35,1,8,6,3,1,8,1,3,4,5,6
3,2,1,1,1,1,1,14,2,1,2,10,40,1,2,2,11,2,2,2,1,67,6,3,87,1,4,1,16,1,3,2,298,2,1,1,2,3,1,10,12,61,1,227,1,1,4,2,416,7,1,1,2,1,656,1,2,1,6,1,1,7,1,10,89,2,1,4,34,1,1,1,553,1,1,4,2,1,130,1,2,503,2,3,2,231,1,1,36,1,933,1,1,2,6,1,17,1,6,1,1060,1,2,31,1,1,34,1,1,66,122,1,6,7,836,9,11,72,2,1,3,13,4,2,1,1076,3,58,1,2,23,304,3,5,1,53,31,1,37,1,2,605,6,124,1,43,1,3,854,2,1,9,2,1,214,2,1,77,1,3,1,77,13,1,1,701,1,1,644,3,44,7,1,1,140,1,16,1,54,1,8,1,2,1,1,8,935,28,1,2,1,31,2,1,298,2,2,1,317,1,1,2,1,27,9,2,1,42,1,9,1,154,1,1,1,237,1,1,1,25,11,1,1,1,113,1,1,1,1,87,15,1,2,2,1,39,2,28,6,2,5,5,2,6,1,2,1,2,3,4
21,9,8,7,2,1,1,10,2,1,1,9,3,36,1,1,10,1,1,1,61,5,5,2,85,1,2,1,14,1,2,1,286,9,5,3,1,2,1,8,11,59,1,4,222,1,2,1,409,6,5,1,1,1,21,633,1,1,3,2,3,3,1,8,8,80,1,3,2,31,1,2,1,549,1,3,1,1,125,2,1,502,1,2,1,228,1,4,2,29,1,931,2,1,5,3,5,8,5,1,1053,4,1,28,2,5,27,1,25,40,120,1,5,6,835,8,10,21,50,1,2,12,3,1,1070,5,2,57,1,22,49,254,2,4,1,51,30,21,13,2,1,604,5,123,1,40,1,2,853,1,6,2,1,8,205,1,60,15,1,2,2,74,11,1,699,1,2,641,1,2,43,2,4,1,138,2,13,1,51,1,3,4,1,1,6,934,13,9,5,1,1,29,1,1,296,1,1,3,1,312,1,1,8,18,8,1,38,3,6,2,1,150,1,1,3,232,1,1,21,2,8,2,1,108,2,1,1,5,85,1,13,1,1,1,36,2,1,27,5,1,4,4,1,5,1,1,2,3,4,10
3,11,2,1,4,3,1,7,2,1,1,7,2,14,21,1,2,6,1,59,1,4,4,1,82,2,1,1,11,1,1,2,280,3,3,1,2,1,1,6,10,55,3,3,220,1,1,3,403,2,5,3,1,2,16,2,631,1,2,1,2,2,3,4,7,2,77,2,1,10,19,1,1,545,1,2,1,99,23,2,1,1,500,1,24,13,190,3,1,28,1,923,4,1,4,2,4,7,4,1,1050,1,3,27,1,4,1,25,24,39,2,117,4,5,834,7,9,20,4,45,1,11,2,1062,7,4,1,56,21,3,45,253,1,3,50,28,1,20,12,1,599,4,4,122,9,5,25,1,852,1,4,1,2,5,204,37,22,7,7,1,1,73,10,2,696,1,1,636,1,1,42,1,3,2,135,1,12,1,48,1,2,2,1,4,933,2,10,8,2,2,1,26,1,281,6,8,1,1,2,307,1,2,5,17,7,2,35,2,5,1,1,147,1,1,3,228,1,1,18,1,7,1,2,103,1,1,3,1,76,2,3,9,1,33,2,1,11,15,4,2,1,3,1,3,1,2,3,4,5,1
1,2,8,3,2,1,1,2,4,1,3,3,1,13,8,12,1,2,2,56,2,3,3,1,79,1,1,2,7,1,1,3,274,2,2,2,1,1,5,8,1,54,2,2,3,216,2,6,394,2,1,4,1,1,15,1,1,628,1,1,1,1,2,3,6,1,74,2,1,9,17,1,1,544,1,1,1,96,18,4,1,2,496,1,23,12,188,1,2,27,1,921,1,3,3,1,3,6,3,2,33,1014,1,1,26,1,2,24,23,38,1,116,3,4,833,6,8,19,3,43,1,10,1,1061,6,3,1,54,20,2,44,252,2,13,36,27,3,16,11,10,588,3,3,121,8,4,24,1,848,2,3,1,4,201,2,36,21,6,4,2,72,4,5,1,695,1,4,630,1,1,39,1,2,1,134,1,10,7,1,39,1,1,3,930,2,1,9,7,1,1,24,1,3,277,5,2,5,1,2,297,7,1,4,16,6,1,34,1,4,1,142,3,1,2,1,224,1,1,16,3,3,1,2,99,1,1,1,5,70,1,2,8,1,30,1,4,6,14,3,1,1,1,1,1,1,2,3,4,5,6
2,1,1,4,3,2,1,1,1,2,2,2,10,2,7,3,8,1,1,55,1,2,2,1,63,14,1,1,5,1,2,1,271,1,1,1,1,2,1,7,2,51,1,1,2,215,1,5,392,1,1,1,2,2,6,6,5,2,619,3,2,1,1,2,5,26,6,41,1,4,4,16,3,2,536,1,2,93,15,2,3,1,495,1,21,11,5,182,1,26,2,52,865,1,2,2,2,5,2,1,32,60,953,1,4,21,1,23,22,1,36,115,2,3,832,5,7,18,2,13,29,5,4,1060,5,2,1,52,19,1,43,251,1,12,35,26,2,15,10,9,587,2,2,120,7,3,23,773,74,1,2,3,1,199,1,35,20,5,3,1,71,3,4,1,693,1,1,628,1,4,30,4,1,124,9,1,8,6,2,35,1,2,26,903,1,1,7,4,2,1,22,1,1,276,4,1,4,1,295,1,5,1,3,15,5,4,27,2,3,1,138,1,2,1,2,220,1,2,13,2,2,1,4,93,1,1,4,1,67,1,1,7,1,28,1,2,5,13,1,1,1,5,6,9,11,12,1,2,3,20
6,5,4,3,2,1,3,2,1,1,1,1,9,1,6,2,6,1,1,52,1,1,1,5,57,2,10,1,4,1,1,101,2,167,9,2,1,1,4,2,1,49,1,1,1,214,1,3,2,389,3,2,1,1,5,5,4,1,4,611,4,1,1,1,3,25,1,4,40,3,3,15,2,1,533,1,1,92,14,1,2,3,2,489,20,10,4,180,1,25,1,51,1,862,1,1,1,4,1,12,19,59,950,1,3,15,5,22,1,20,35,114,1,2,831,4,6,17,1,12,28,4,3,1059,4,1,46,5,18,1,41,250,9,2,34,25,1,14,9,8,586,1,1,119,6,2,22,772,58,15,1,2,184,14,30,4,19,4,2,62,8,2,3,1,691,1,59,567,1,3,29,3,117,6,8,5,2,5,1,34,1,24,1,901,1,1,5,3,1,15,3,3,1,274,3,2,1,4,288,2,1,3,2,14,4,3,26,1,2,1,135,1,1,1,2,219,1,1,12,1,1,3,1,89,2,1,1,1,66,1,2,4,1,25,1,1,4,11,1,1,3,1,2,1,1,1,14,15,16,1
